id;title;description;due_date;done;status;txt
1;ability Hat Iraq;magenta Concrete;2019-10-22;false;true;conglomeration
2;Oklahoma facilitate;Engineer;2019-10-22;false;false;Buckinghamshire capability zero tolerance
3;mission-critical;Berkshire Small Plastic Pants Investor;2019-10-22;true;false;Berkshire Designer
4;Credit Card Account;navigate;2019-10-22;false;true;web-enabled invoice withdrawal
5;bypassing optical;installation;2019-10-22;true;false;Kentucky Algerian Dinar Clothing
6;open-source turn-key;Sausages;2019-10-22;false;false;Creative Metal
7;bandwidth azure;SMS Enhanced;2019-10-22;false;true;Macao Equatorial Guinea Vision-oriented
8;Agent;Human deposit;2019-10-22;false;false;bus Internal AI
9;THX bypassing Marketing;Dynamic Home Loan Account Tools;2019-10-22;true;true;Home Gloves Latvia
10;Ports Manager Fish;Networked;2019-10-22;false;true;payment calculating
